place_name,keywords,data_type,theme_id,open_info,fee,info,contact,address,coordinate_y,coordinate_x,주차
영등포공원,힐링,tour,1,연중무휴 상시 개방,"화장실:있음
이용가능시설:농구장 / 배드민턴장 / 풋살경기장 / 야외정자 등
입 장 료:무료
","서울시가 OB맥주 공장이 있던 부지를 매입하여 조성한 영등포공원은 영등포 1동, 대림동, 도림동, 신길동 등의 인구 밀집 지역에서 녹원 녹지가 부족한 상황에서 주민들에게 휴식 및 여가 활동 공간을 제공하기 위한 목적으로 조성되었다. OB맥주 공장이 60년 동안 있었던 자리였으나 1997년에 경기도 이천시로 공장을 이전하면서 서울시에서 이 부지를 사들여 공원으로 만들었다. 공장의 흔적으로는 맥주 제조에 사용되던 순동제 담금솥이 남아있으며 이 공원의 랜드마크로 남아 있다.
공원 내에는 조경시설과 더불어 체력단련시설, 음수전 등이 마련되어 있으며, 야외무대도 있다. 또한 공원 내에는 영등포문화예술회관이 있어 구민들의 문화생활에 기여하고 있다. 수도권 지하철 1호선 영등포역 1번 출구에서 300m 거리에 위치하고 있다.",영등포구청 정원도시과 02-2670-3716,서울특별시 영등포구 신길로 275 (영등포동),37.5162061316,126.9122840318,가능
고하송진우선생동상,역사 탐방,tour,1,연중무휴 05:00~22:00,"입 장 료:무료
","독립운동가, 교육자, 언론인, 정치가이자 민족지도자로 활동한 고하 송진우 선생을 추모하기 위해 건립되었으며 서울어린이대공원 내(정문과 서문 사이 위치)에 있다. 고하 선생은 3.1 운동을 배후 주동하여 옥고를 치렀고 1921년 동아일보 사장 취임 후 20여 년 간 신문을 통하여 일제 암흑기에 국내 독립운동을 주도하고 민족 민주 민생 민문주의를 구국의 기본사상으로 삼아 언론 교육산업 문화활동을 통하여 독립을 위한 민족의 힘과 얼을 고취하였다. 해방 직전 일제의 정권 인수제의를 거절하였고 광복 후 한국민주당을 창당하여 동아일보 사장으로서 민주건국과 신탁통치 반대에 진력하던 중 한현우 등의 총탄에 서울 원서동 자택에서 서거하였다.",02-450-9311,서울특별시 광진구 능동로 216 (능동)(어린이대공원 내),37.5493552228,127.0762792676,가능
송재서재필선생상,역사 탐방,tour,1,연중무휴 상시 개방,"입 장 료:무료
","전남 보성 출신 개화운동가이자 독립운동가인 서재필 선생을 기리기 위하여 서대문독립공원 내에 건립된 동상이다. 송재 서재필 선생은 1896년 4월 7일 한국 최초의 민간신문인 '독립신문'을 발간하였다. 윤치호, 이상재 등의 협력을 얻어 독립협회를 창립하여 종래 중국을 사대하던 상징인 영은문을 헐고 그 자리에 국민의 성금을 모아 한국독립의 상징으로서 독립문을 세웠으며, 종래의 모화관을 개수하여 독립관으로 고치고 독립협회의 집회장소와 사무실로 사용하였다. 또한, 토론회를 통해 시민들을 모아 나라의 독립과 개혁에 대한 토론을 시키고 만민공동회를 조직하여 러시아의 부산 절영도 조차[租借] 요구를 반대하는 등 국민의 독립사상과 민권사상을 크게 신장시켰다. 1919년 3.1 운동 이후 임시정부가 워싱턴에 구미위원회를 설치하자 그 위원장을 맡아 독립운동을 위한 외교활동을 전개하였고 전 재산을 독립운동의 경비에 바치는 등 조국의 독립을 위하여 헌신하셨으나 1951년 1월 5일 미국에서 87세의 생을 마감하였다.",서대문관광안내소 독립공원점 0507-1445-3828,서울특별시 서대문구 통일로 251 (현저동),37.5746723659,126.9573421635,가능
해공신익희선생동상,역사 탐방,tour,1,연중무휴 상시 개방,"입 장 료:무료
","독립운동가로 우리 민족의 자주독립과 민주주의 발전을 위해 헌신한 해공 신익희 선생의 공적을 기려 강동구청 주관으로 천호동에 동상을 건립하였다. 해공 신익희선생은 1894년 경기 광주 출신으로 1910년 한성관립외국어학교 졸업 후, 1912년 일본 와세다대학 정경학부에 입학하여 유학생 통합단체인 학우회를 조직하고 기관지 학지광을 발간하며 민족정신과 독립사상을 고취하였다. 1913년 귀국하여 고향에 동명강습소를 열어 신문화와 개화사상을 보급하였으며, 1919년 독립선언문을 배포하며 만세시위를 주도하였다. 그 해 일경의 체포령을 피해 상해로 망명, 임시정부 수립에 참여하여 내무차장, 국무원비서장, 외무총장 서리, 내무부장 등을 역임하시고 조국의 광복을 맞아 귀국하였다. 귀국 후 민주당 최고위원 및 국회의장을 역임하고 1956년 민주당 대통령 후보로 민주주의 실현을 위해 혼신의 힘을 기울이다 유세 가던 중 열차에서 뇌내출혈로 서거하였다.",강동구 문화예술과 02-3425-5240,서울특별시 강동구 천호3동 448-49호 (천호동 마을마당 내),37.5363494014,127.1318412470,
호국무공수훈자공적비,역사 탐방,tour,1,연중무휴 상시 개방,"입 장 료:무료
","6.25 전쟁에서 나라를 지키고 베트남전에서 세계평화를 위해 용전분투한 무공수훈자들의 업적과 숭고한 호국정신을 기리기 위하여 성동구 및 무공수훈자회 성동구지회의 정성과 의지를 모아 6.25 전쟁 60주년이 되는 2010년에 건립되었다. 공적비는 원형좌대의 계단 위에 제1 탑(공적비명), 제2 탑(무공수훈자명단 279명), 제3 탑(취지문, 후원기관 등)으로 이루어져 있다. 규격은 가로 6.8m, 세로 6.8m, 높이 5m이다.",성동구 문화체육과 02-2286-5197,서울특별시 성동구 용답동237,37.5602538457,127.0701156307,불가능
서촌마을,문화 예술,tour,1,연중무휴 상시 개방,"입 장 료:무료
","서촌은 경복궁 서쪽에 있는 마을을 일컫는 별칭이다. 서촌마을은 인근에 명동과는 다른 분위기로 오랫동안 골목을 지켜온 낡은 상점들과 한옥집 등을 구경할 수 있으며, 미로 같은 골목길을 걷다 보면 상큼한 파스텔컬러의 벽화와 앙증맞은 그림들이 눈길을 사로잡는다. 옛 느낌과 더불어 감각적이고 세련된 공간들도 함께 공존하고 있으며, 특유의 정겨움과 소박함을 유지하고 있다. 이런 분위기 덕에 영화, 드라마, 뮤직비디오 촬영지로 인기 있는 곳이다.",북촌마을안내소 02-2148-4161,서울특별시 종로구 필운대로 45 (누하동),37.5802469183,126.9685215424,불가능
뚝도 아리수 정수센터,역사 탐방,tour,1,"주말 / 공휴일 [6월~9월] 10:000~11:30<br>
[1월~5월 / 10월~12월] 14:00~15:30<br>
※ 예약 필수","입 장 료:무료
","아리수정수센터는 서울 시민의 생명수를 책임지는 첨단 수돗물 생산시설이다. ‘시민과 함께하는 아리수’를 목표로 깨끗하고 안전한 수돗물을 공급하고 있다. 세계 최고 수준의 수질관리 시스템을 갖추어, 원수부터 생산, 공급 전 과정에서 철저한 수질 검사를 실시하고 있으며, 오존 처리와 활성탄 필터링을 포함한 고도정수처리 기술로 안전성을 극대화하고 있다.
아리수정수센터 견학 프로그램을 통해 방문객들은 최신 정수 처리 과정과 엄격한 수질 관리 절차를 직접 확인할 수 있으며, 서울 수돗물의 우수성과 먹는 물 문화 확산을 체험할 수 있다. 시민의 건강과 환경을 최우선으로 하는 아리수는 깨끗한 물 공급을 넘어 신뢰받는 브랜드로 자리매김하고 있다.","02-3146-5512<br>
02-3146-5546",서울특별시 성동구 왕십리로 27 (성수동1가),19.6944274800,117.9925662504,가능
국제음식문화거리(INTERNATIONAL FOOD STREET),"역사 탐방, 핫플레이스",tour,1,점포별 상이 점포별 상이,"입 장 료:무료
","국제음식문화거리가 조성되는 곳에는 신도림역, 대형 쇼핑몰, 먹자골목 등이 위치해 있어 하루 약 2만 명 이상이 왕래하고 있다. 연간 1만 5,000여 명의 교육생이 방문하는 유네스코 아태 교육원이 위치한 지역이기도 하다. 다양한 국가의 음식을 판매하고 있어 골라 먹는 재미가 쏠쏠하다. 또한 문화축제, 플리마켓 등 다양한 문화행사도 진행하고 있다.",구로구 문화관광과 02-860-2410,서울특별시 구로구 새말로 102,37.5058319638,126.8914195585,불가능
익선동 한옥거리,"문화 예술, 역사 탐방, 핫플레이스",tour,1,점포 별로 상이함 점포 별로 상이함,"입 장 료:무료
","익선동은 골목과 한옥이 어우러져 아름다운 매력을 풍기는 곳으로 남녀노소 많은 관광객들이 찾고 있으며, 젊은 세대와 어르신 간 세대를 이어주는 장소이기도 하다. 익선동은 2018년 한옥보전지구 지정 후 2019년부터 레트로, 뉴트로 열풍과 맞물려 첨단 도시 서울의 기묘한 시간 여행지로 급부상했다. 아담하고 야트막한 한옥 사이로 핏줄처럼 가느다랗고 촘촘히 골목이 이어진 익선동 한옥거리는 하나의 여행 상품처럼 구역 전체가 주목받고 있다. 한옥을 개조된 카페, 음식점, 각종 샵들이 자리 잡고 있어서 볼거리도 많은 서울 대표 데이트 코스이다.",남인사동 관광안내소 02-737-7885,서울특별시 종로구 익선동,37.5735203041,126.9897920161,불가능
이대거리,"문화 예술, 역사 탐방",tour,1,연중무휴 상시 개방,"입 장 료:무료
","이화여대 정문에서 신촌 기차역까지 사이사이 이어지는 골목거리이다. 패션산업 부진으로 한때 공실이 많았으나 2017년 청년창업가 중심의 감각 있는 점포가 입점하기 시작하면서 되살아난 골목이다. 테이크아웃 가능한 카페 및 작은 음식점이 골목골목 이어져 있고 패션의 메카답게 의류, 미용실, 화장품, 구두, 액세서리, 네일숍 등 특색 있는 점포들로 볼거리가 풍부하다. 

(출처 : 서대문구청 홈페이지)",신촌 관광안내센터 02-363-7833,서울특별시 서대문구 대현동,37.5579323782,126.9424606606,불가능
립바이 메이크업 스튜디오,액티비티,tour,1,"연중무휴 10:00~22:00<br>
※ 예약 필수","이용가능시설:메이크업 스튜디오 / 휴게실 등
",립바이 메이크업 스튜디오는 메이크업 클래스 전문 서비스 브랜드이다. 나에게 어울리는 맞춤형 1:1 메이크업 레슨을 통해 개성에 맞는 화장 방법을 알려준다. 또한 생활 속 나만의 메이크업 방법을 차차 경험하고 즐길 수 있도록 서포터 해준다. 한국의 뷰티 스타일로 나에게 어울리는 화장법을 배워보자.,02-542-3379,서울특별시 강남구 논현로155길 8 (신사동)한주빌딩 지하 1층,37.5219380820,127.0273206149,가능
대치유수지체육공원,"힐링, 액티비티",tour,1,연중무휴 07:00~21:00,"시설이용료:- 축구장 100,000원~160,000원<br>
- 테니스장 18,000원~36,000원<br>
- 풋살구장 40,000원~62,000원<br>
※ 체육대회 및 행사 이용료는 홈페이지 참조 또는 전화 문의 요망
이용가능시설:축구장 / 테니스장 / 풋살구장 등
","각종 체육시설과 운동기구, 산책로, 휴게공간, 음악분수, 상징조형물 등 여러 시설물을 갖추어 체력 증진과 생활 체육의 활성화를 위해 지역 주민이 편리하게 이용할 수 있도록 조성한 체육공원이다. 축구장, 테니스장, 풋살구장 대관이 가능하며 예약은 사용일 기준 1일 전까지 선착순으로 받는다. 당일 예약은 불가하며 지역주민 우선 접수로 진행된다.",02-2051-2285,서울특별시 강남구 역삼로107길 20-30 (대치동),19.6944274800,117.9925662504,가능
